image_name,naturalness
Leon Wolf 038.jpg,3.086956522
Leon Wolf 089.jpg,2.411764706
Leon Wolf 105.jpg,3.368421053
AVAM 19.jpg,3.428571429
AVAM 22.jpg,3.055555556
AVAM 23.jpg,4.157894737
AnnapolisM1.jpg,5.307692308
AMM11.jpg,5.875
AMM7.jpg,2.807692308
Annapolis_Waterworks1.jpg,6.0
Annapolis_Waterworks2.jpg,5.538461538
Annapolis_Waterworks3.jpg,6.153846154
AnneArundel2.jpg,3.846153846
AnneArundel4.jpg,4.647058824
AnneArundel5.jpg,2.772727273
BaltClay5.jpg,3.318181818
BaltClay6.jpg,3.789473684
BaltClay8.jpg,2.545454545
BaltWash1.jpg,2.307692308
BaltWash2.jpg,3.153846154
Balt Wash Med center11.jpg,3.115384615
CBF1.jpg,5.692307692
CBF2.jpg,5.538461538
CBF3.jpg,4.769230769
Childrens1.jpg,2.384615385
Childrens_PeaceGarden002.jpg,3.576923077
Childrens_PeaceGarden004.jpg,3.476190476
Crispus Attucks 06.jpg,2.818181818
Crispus Attucks 21.jpg,5.0625
Crispus Attucks 25.jpg,5.454545455
Franklin3.jpg,3.846153846
Franklin4.jpg,2.565217391
Franklin6.jpg,2.705882353
Frederick1.jpg,3.692307692
Frederick4.jpg,6.125
Frederick5.jpg,5.9
Govans3.jpg,4.076923077
Govens4.jpg,4.411764706
Govens5.jpg,4.85
GreenSpace4.jpg,4.739130435
GreenSpace5.jpg,3.318181818
GreenSpace6.jpg,4.333333333
java2.jpg,2.076923077
java3.jpg,2.384615385
JAVA5.jpg,1.958333333
jeremys1.jpg,3.923076923
jeremys2.jpg,3.846153846
jeremys3.jpg,4.307692308
hopkins1.jpg,2.307692308
hopkins3.jpg,1.923076923
Hopkins4.jpg,4.666666667
kernan1.jpg,3.384615385
Kernan5.jpg,2.5625
Kernan9.jpg,2.8125
Marian House01.jpg,2.526315789
Marian House10.jpg,1.619047619
Marian House15.jpg,1.590909091
MD3.jpg,2.384615385
Maryland_Hall004.jpg,2.214285714
Maryland_Hall008.jpg,2.076923077
GeorgetownL1.jpg,1.923076923
GeorgetownL2.jpg,2.461538462
GeorgetownL3.jpg,2.615384615
newborn1.jpg,3.692307692
newborn2.jpg,2.923076923
newborn3.jpg,3.076923077
Providence Hospital 16.jpg,2.457142857
Providence Hospital 45.jpg,4.043478261
Providence Hospital 96.jpg,4.722222222
stanthonys1.jpg,2.0
St Anthony 0004.jpg,1.8
St Anthonys 0049.jpg,2.944444444
Thanksgiving Place 65.jpg,2.923076923
Thanksgiving Place 51.jpg,2.315789474
Thanksgiving Place 60.jpg,2.636363636
UMBC-Beuys001.jpg,5.8
UMBC-Beuys004.jpg,5.666666667
UMBC-Beuys008.jpg,5.192307692
upenn1.jpg,3.076923077
upenn2.jpg,1.846153846
upenn3.jpg,2.0
Village_Learning_Place05.jpg,2.923076923
Village_Learning_Place25.jpg,2.923076923
Village7.jpg,3.0
WhitWalker_TKF049.jpg,3.692307692
WhitWalker_TKF069.jpg,4.692307692
WhitmanWalker004.jpg,5.310344828
